opportunity_type,name,host,date_time_kst,location,onsite,source_url,confidence,guide_use_zh,guide_use_en,priority
reception,Welcome Reception,ICML,Tue Jul 7 17:45-19:00,COEX first/second/third floor,yes,https://icml.cc/virtual/2026/reception/67263,high,官方社交主场，适合放每日行程。,Main official social anchor; include in the daily route.,P0
affinity,LatinX in AI Workshop,LatinX in AI,Tue Jul 7 08:00-17:00,Room 300,yes,https://icml.cc/virtual/2026/affinity-event/54097,high,diversity/community 版块。,Diversity/community route.,P2
affinity,WiML Symposium at ICML 2026,Women in Machine Learning,Wed Jul 8 08:00-17:00,"Room E1-E4, 3rd Floor",yes,https://icml.cc/virtual/2026/affinity-event/54055,high,women/diversity/networking 必收。,High-value women/diversity/networking event.,P1
affinity_poster,"WiML, Muslims in ML, LatinX, GlobalSouthML Poster Session",Affinity groups,Wed Jul 8 19:00-21:00,Hall A,yes,https://icml.cc/virtual/2026/affinity-poster-session/68481,high,适合晚间替代外部饭局。,Good evening alternative to external dinners.,P1
affinity,GlobalSouthML @ ICML 2026,GlobalSouthML,Thu Jul 9 08:00-17:00,"Room E1-E4, 3rd Floor",yes,https://icml.cc/virtual/2026/affinity-event/54098,high,global south / community。,Global South / community route.,P2
affinity,The 6th Muslims in ML Workshop,MusIML,Thu Jul 9 08:00-17:00,Room 300,yes,https://icml.cc/virtual/2026/affinity-event/54056,high,inclusion/community。,Inclusion/community route.,P2
social,Bridging Research and Open-Source,ICML Social,Wed Jul 8 19:00-21:00,Room E1-E4,yes,https://icml.cc/virtual/2026/social/80676,high,开源社区 networking。,Open-source community networking.,P1
social,How to Network at an AI Conference,ICML Social,Wed Jul 8 19:00-21:00,ASEM Ballroom 201-203,yes,https://icml.cc/virtual/2026/social/80674,high,新手逛会指南强推荐。,Strong recommendation for first-time conference goers.,P0
social,Robot Learning Social,ICML Social,Wed Jul 8 19:00-21:00,Room 300,yes,https://icml.cc/virtual/2026/social/80675,high,robotics 方向聚集点。,Robotics networking anchor.,P1
social,Cooperative AI,ICML Social,Thu Jul 9 19:00-21:00,Room E5-E6,yes,https://icml.cc/virtual/2026/social/80681,high,AI safety / multi-agent 社区。,AI safety / multi-agent community.,P1
town_hall,Town Hall,ICML,Thu Jul 9 14:30-15:30,Hall C,yes,https://icml.cc/virtual/2026/town-hall/67275,high,了解组织方向、提问、找社群入口。,"Understand conference direction, ask questions, and find community entry points.",P2
recruiting_lead,Jane Street,Jane Street,All conference week,Sponsor / expo / careers,yes,https://icml.cc/virtual/2026/sponsor_list,high,Diamond sponsor；官方 blurb 明确招聘取向。,Diamond sponsor; official blurb signals recruiting interest.,P1
recruiting_lead,IMC,IMC,All conference week,Sponsor / expo / careers,yes,https://icml.cc/virtual/2026/sponsor_list,high,Platinum sponsor；明确关注 PhD 和 industry candidates。,Platinum sponsor; explicitly interested in PhD and industry candidates.,P1
recruiting_lead,Preference Model,Preference Model,All conference week,Sponsor / expo / careers,yes,https://icml.cc/virtual/2026/sponsor_list,high,Silver sponsor；官方 blurb 明确 hiring researchers and engineers。,Silver sponsor; official blurb explicitly says hiring researchers and engineers.,P1
career_or_mentoring,MATS Research,MATS Research,All conference week,Sponsor / expo / careers,yes,https://icml.cc/virtual/2026/sponsor_list,high,AI alignment early researcher / mentors 线索。,AI alignment early-researcher and mentor lead.,P2
